SOC,Skill,Importance
35-2015.00,Installation,1.0
35-2015.00,Programming,1.0
35-2015.00,Operations Monitoring,2.25
35-2015.00,Operation and Control,2.0
35-2015.00,Equipment Maintenance,1.0
35-2015.00,Troubleshooting,1.88
35-2015.00,Repairing,1.0
35-2015.00,Quality Control Analysis,2.25
35-2015.00,Judgment and Decision Making,2.62
35-2015.00,Systems Analysis,1.75
35-2015.00,Systems Evaluation,1.88
35-2015.00,Time Management,3.12
35-2015.00,Management of Financial Resources,1.75
35-2015.00,Management of Material Resources,2.0
35-2015.00,Management of Personnel Resources,2.25
35-2021.00,Reading Comprehension,2.62
35-2021.00,Active Listening,3.0
35-2021.00,Writing,1.88
35-2021.00,Speaking,2.88
35-2021.00,Mathematics,2.0
35-2021.00,Science,1.0
35-2021.00,Critical Thinking,2.75
35-2021.00,Active Learning,2.0
35-2021.00,Learning Strategies,2.0
35-2021.00,Monitoring,2.5
35-2021.00,Social Perceptiveness,2.62
35-2021.00,Coordination,2.88
35-2021.00,Persuasion,2.0
35-2021.00,Negotiation,1.88
35-2021.00,Instructing,2.0
35-2021.00,Service Orientation,3.0
35-2021.00,Complex Problem Solving,2.0
35-2021.00,Operations Analysis,1.0
35-2021.00,Technology Design,1.0
35-2021.00,Equipment Selection,1.12
35-2021.00,Installation,1.0
35-2021.00,Programming,1.0
35-2021.00,Operations Monitoring,2.0
35-2021.00,Operation and Control,1.75
35-2021.00,Equipment Maintenance,1.0
35-2021.00,Troubleshooting,1.88
35-2021.00,Repairing,1.0
35-2021.00,Quality Control Analysis,2.12
35-2021.00,Judgment and Decision Making,2.38
35-2021.00,Systems Analysis,2.0
35-2021.00,Systems Evaluation,1.88
35-2021.00,Time Management,3.0
35-2021.00,Management of Financial Resources,1.5
35-2021.00,Management of Material Resources,1.5
35-2021.00,Management of Personnel Resources,2.0
35-3011.00,Reading Comprehension,3.0
35-3011.00,Active Listening,3.75
35-3011.00,Writing,2.75
35-3011.00,Speaking,3.12
35-3011.00,Mathematics,2.25
35-3011.00,Science,1.0
35-3011.00,Critical Thinking,3.12
35-3011.00,Active Learning,3.0
35-3011.00,Learning Strategies,2.88
35-3011.00,Monitoring,3.0
35-3011.00,Social Perceptiveness,3.25
35-3011.00,Coordination,3.12
35-3011.00,Persuasion,3.12
35-3011.00,Negotiation,2.88
35-3011.00,Instructing,3.0
35-3011.00,Service Orientation,3.62
35-3011.00,Complex Problem Solving,3.0
35-3011.00,Operations Analysis,1.0
35-3011.00,Technology Design,1.5
35-3011.00,Equipment Selection,1.25
35-3011.00,Installation,1.0
35-3011.00,Programming,1.25
35-3011.00,Operations Monitoring,2.0
35-3011.00,Operation and Control,1.62
35-3011.00,Equipment Maintenance,1.12
35-3011.00,Troubleshooting,1.88
35-3011.00,Repairing,1.0
35-3011.00,Quality Control Analysis,2.25
35-3011.00,Judgment and Decision Making,2.88
35-3011.00,Systems Analysis,2.25
35-3011.00,Systems Evaluation,2.25
35-3011.00,Time Management,3.0
35-3011.00,Management of Financial Resources,2.25
35-3011.00,Management of Material Resources,2.38
35-3011.00,Management of Personnel Resources,2.5
35-3023.00,Reading Comprehension,2.38
35-3023.00,Active Listening,3.0
35-3023.00,Writing,2.0
35-3023.00,Speaking,2.62
35-3023.00,Mathematics,2.0
35-3023.00,Science,1.0
35-3023.00,Critical Thinking,2.5
35-3023.00,Active Learning,1.88
35-3023.00,Learning Strategies,2.0
35-3023.00,Monitoring,2.88
35-3023.00,Social Perceptiveness,3.0
35-3023.00,Coordination,3.0
35-3023.00,Persuasion,2.0
35-3023.00,Negotiation,1.88
35-3023.00,Instructing,2.0
35-3023.00,Service Orientation,3.0
35-3023.00,Complex Problem Solving,1.88
35-3023.00,Operations Analysis,1.0
35-3023.00,Technology Design,1.25
35-3023.00,Equipment Selection,1.0
35-3023.00,Installation,1.0
35-3023.00,Programming,1.12
35-3023.00,Operations Monitoring,2.0
35-3023.00,Operation and Control,1.62
35-3023.00,Equipment Maintenance,1.0
35-3023.00,Troubleshooting,1.5
35-3023.00,Repairing,1.0
35-3023.00,Quality Control Analysis,1.62
35-3023.00,Judgment and Decision Making,2.38
35-3023.00,Systems Analysis,2.0
35-3023.00,Systems Evaluation,1.88
35-3023.00,Time Management,2.38
35-3023.00,Management of Financial Resources,1.5
35-3023.00,Management of Material Resources,1.75
35-3023.00,Management of Personnel Resources,2.0
35-3023.01,Reading Comprehension,3.0
35-3023.01,Active Listening,3.5
35-3023.01,Writing,2.62
35-3023.01,Speaking,3.38
35-3023.01,Mathematics,2.12
35-3023.01,Science,1.0
35-3023.01,Critical Thinking,2.88
35-3023.01,Active Learning,2.62
35-3023.01,Learning Strategies,2.38
35-3023.01,Monitoring,3.0
35-3023.01,Social Perceptiveness,3.12
35-3023.01,Coordination,3.0
35-3023.01,Persuasion,2.75
35-3023.01,Negotiation,2.5
35-3023.01,Instructing,2.25
35-3023.01,Service Orientation,3.38
35-3023.01,Complex Problem Solving,2.38
35-3023.01,Operations Analysis,1.12
35-3023.01,Technology Design,1.38
35-3023.01,Equipment Selection,1.62
35-3023.01,Installation,1.0
35-3023.01,Programming,1.0
35-3023.01,Operations Monitoring,2.5
35-3023.01,Operation and Control,2.75
35-3023.01,Equipment Maintenance,2.12
35-3023.01,Troubleshooting,2.12
35-3023.01,Repairing,2.0
35-3023.01,Quality Control Analysis,2.25
35-3023.01,Judgment and Decision Making,2.38
35-3023.01,Systems Analysis,1.75
35-3023.01,Systems Evaluation,1.75
35-3023.01,Time Management,2.62
35-3023.01,Management of Financial Resources,1.75
35-3023.01,Management of Material Resources,1.88
35-3023.01,Management of Personnel Resources,2.12
35-3031.00,Reading Comprehension,2.75
35-3031.00,Active Listening,3.5
35-3031.00,Writing,2.12
35-3031.00,Speaking,3.5
35-3031.00,Mathematics,2.12
35-3031.00,Science,1.0
35-3031.00,Critical Thinking,2.88
35-3031.00,Active Learning,2.5
35-3031.00,Learning Strategies,2.0
35-3031.00,Monitoring,3.0
35-3031.00,Social Perceptiveness,3.38
35-3031.00,Coordination,3.12
35-3031.00,Persuasion,2.75
35-3031.00,Negotiation,2.12
35-3031.00,Instructing,2.12
35-3031.00,Service Orientation,3.88
35-3031.00,Complex Problem Solving,2.62
35-3031.00,Operations Analysis,1.0
35-3031.00,Technology Design,1.0
35-3031.00,Equipment Selection,1.0
35-3031.00,Installation,1.0
35-3031.00,Programming,1.12
35-3031.00,Operations Monitoring,2.0
35-3031.00,Operation and Control,1.38
35-3031.00,Equipment Maintenance,1.0
35-3031.00,Troubleshooting,1.75
35-3031.00,Repairing,1.0
35-3031.00,Quality Control Analysis,2.25
35-3031.00,Judgment and Decision Making,2.75
35-3031.00,Systems Analysis,2.0
35-3031.00,Systems Evaluation,2.0
35-3031.00,Time Management,2.75
35-3031.00,Management of Financial Resources,1.62
35-3031.00,Management of Material Resources,1.75
35-3031.00,Management of Personnel Resources,1.88
35-3041.00,Reading Comprehension,2.88
35-3041.00,Active Listening,3.0
35-3041.00,Writing,2.0
35-3041.00,Speaking,3.0
35-3041.00,Mathematics,2.0
35-3041.00,Science,1.0
35-3041.00,Critical Thinking,2.88
35-3041.00,Active Learning,2.0
35-3041.00,Learning Strategies,2.0
35-3041.00,Monitoring,2.75
35-3041.00,Social Perceptiveness,2.88
35-3041.00,Coordination,2.88
35-3041.00,Persuasion,2.12
35-3041.00,Negotiation,2.12
35-3041.00,Instructing,2.12
35-3041.00,Service Orientation,3.0
35-3041.00,Complex Problem Solving,2.12
35-3041.00,Operations Analysis,1.5
35-3041.00,Technology Design,1.75
35-3041.00,Equipment Selection,1.12
35-3041.00,Installation,1.0
35-3041.00,Programming,1.12
35-3041.00,Operations Monitoring,2.12
35-3041.00,Operation and Control,2.0
35-3041.00,Equipment Maintenance,1.12
35-3041.00,Troubleshooting,2.0
35-3041.00,Repairing,1.0
35-3041.00,Quality Control Analysis,2.12
35-3041.00,Judgment and Decision Making,2.75
35-3041.00,Systems Analysis,2.0
35-3041.00,Systems Evaluation,2.0
35-3041.00,Time Management,2.88
35-3041.00,Management of Financial Resources,1.88
35-3041.00,Management of Material Resources,1.88
35-3041.00,Management of Personnel Resources,2.25
35-9011.00,Reading Comprehension,2.38
35-9011.00,Active Listening,3.0
35-9011.00,Writing,2.0
35-9011.00,Speaking,2.88
35-9011.00,Mathematics,1.88
35-9011.00,Science,1.0
35-9011.00,Critical Thinking,2.75
35-9011.00,Active Learning,2.12
35-9011.00,Learning Strategies,2.0
35-9011.00,Monitoring,2.88
35-9011.00,Social Perceptiveness,2.88
35-9011.00,Coordination,3.0
35-9011.00,Persuasion,2.0
35-9011.00,Negotiation,2.0
35-9011.00,Instructing,2.0
35-9011.00,Service Orientation,3.0
35-9011.00,Complex Problem Solving,2.0
35-9011.00,Operations Analysis,1.12
35-9011.00,Technology Design,1.12
35-9011.00,Equipment Selection,1.0
35-9011.00,Installation,1.0
35-9011.00,Programming,1.12
35-9011.00,Operations Monitoring,2.12
35-9011.00,Operation and Control,1.75
35-9011.00,Equipment Maintenance,1.0
35-9011.00,Troubleshooting,2.0
35-9011.00,Repairing,1.0
35-9011.00,Quality Control Analysis,2.0
35-9011.00,Judgment and Decision Making,2.88
35-9011.00,Systems Analysis,2.0
35-9011.00,Systems Evaluation,2.0
35-9011.00,Time Management,2.25
35-9011.00,Management of Financial Resources,2.0
35-9011.00,Management of Material Resources,2.0
35-9011.00,Management of Personnel Resources,2.25
35-9021.00,Reading Comprehension,2.0
35-9021.00,Active Listening,2.62
35-9021.00,Writing,1.75
35-9021.00,Speaking,2.5
35-9021.00,Mathematics,1.5
35-9021.00,Science,1.0
35-9021.00,Critical Thinking,2.5
35-9021.00,Active Learning,1.88
35-9021.00,Learning Strategies,2.0
35-9021.00,Monitoring,2.5
35-9021.00,Social Perceptiveness,2.5
35-9021.00,Coordination,2.75
35-9021.00,Persuasion,1.88
35-9021.00,Negotiation,1.88
35-9021.00,Instructing,2.0
35-9021.00,Service Orientation,2.12
35-9021.00,Complex Problem Solving,1.88
35-9021.00,Operations Analysis,1.0
35-9021.00,Technology Design,1.0
35-9021.00,Equipment Selection,1.5
35-9021.00,Installation,1.0
35-9021.00,Programming,1.0
35-9021.00,Operations Monitoring,2.5
35-9021.00,Operation and Control,2.88
35-9021.00,Equipment Maintenance,2.0
35-9021.00,Troubleshooting,2.0
35-9021.00,Repairing,1.88
35-9021.00,Quality Control Analysis,2.38
35-9021.00,Judgment and Decision Making,2.25
35-9021.00,Systems Analysis,1.88
35-9021.00,Systems Evaluation,1.88
35-9021.00,Time Management,2.62
35-9021.00,Management of Financial Resources,1.5
35-9021.00,Management of Material Resources,1.5
35-9021.00,Management of Personnel Resources,1.88
35-9031.00,Reading Comprehension,2.88
35-9031.00,Active Listening,3.5
35-9031.00,Writing,2.12
35-9031.00,Speaking,3.12
35-9031.00,Mathematics,1.88
35-9031.00,Science,1.0
35-9031.00,Critical Thinking,2.75
35-9031.00,Active Learning,2.62
35-9031.00,Learning Strategies,2.0
35-9031.00,Monitoring,2.88
35-9031.00,Social Perceptiveness,3.0
35-9031.00,Coordination,2.88
35-9031.00,Persuasion,2.62
35-9031.00,Negotiation,2.62
35-9031.00,Instructing,2.38
35-9031.00,Service Orientation,3.12
35-9031.00,Complex Problem Solving,1.88
35-9031.00,Operations Analysis,1.0
35-9031.00,Technology Design,1.0
35-9031.00,Equipment Selection,1.0
35-9031.00,Installation,1.0
35-9031.00,Programming,1.0
35-9031.00,Operations Monitoring,1.75
35-9031.00,Operation and Control,1.25
35-9031.00,Equipment Maintenance,1.0
35-9031.00,Troubleshooting,1.25
35-9031.00,Repairing,1.0
35-9031.00,Quality Control Analysis,2.0
35-9031.00,Judgment and Decision Making,2.12
35-9031.00,Systems Analysis,2.0
35-9031.00,Systems Evaluation,1.88
35-9031.00,Time Management,2.62
35-9031.00,Management of Financial Resources,1.12
35-9031.00,Management of Material Resources,1.12
35-9031.00,Management of Personnel Resources,2.0
37-1011.00,Reading Comprehension,3.0
37-1011.00,Active Listening,3.12
37-1011.00,Writing,2.88
37-1011.00,Speaking,3.25
37-1011.00,Mathematics,2.12
37-1011.00,Science,1.0
37-1011.00,Critical Thinking,3.12
37-1011.00,Active Learning,2.88
37-1011.00,Learning Strategies,3.12
37-1011.00,Monitoring,3.25
37-1011.00,Social Perceptiveness,3.12
37-1011.00,Coordination,3.25
37-1011.00,Persuasion,2.88
37-1011.00,Negotiation,3.0
37-1011.00,Instructing,3.12
37-1011.00,Service Orientation,3.12
37-1011.00,Complex Problem Solving,3.12
37-1011.00,Operations Analysis,1.88
37-1011.00,Technology Design,1.38
37-1011.00,Equipment Selection,2.0
37-1011.00,Installation,1.0
37-1011.00,Programming,1.0
37-1011.00,Operations Monitoring,2.25
37-1011.00,Operation and Control,2.0
37-1011.00,Equipment Maintenance,2.12
37-1011.00,Troubleshooting,2.12
37-1011.00,Repairing,1.88
37-1011.00,Quality Control Analysis,3.0
37-1011.00,Judgment and Decision Making,3.0
37-1011.00,Systems Analysis,2.38
37-1011.00,Systems Evaluation,2.62
37-1011.00,Time Management,3.25
37-1011.00,Management of Financial Resources,2.38
37-1011.00,Management of Material Resources,2.75
37-1011.00,Management of Personnel Resources,3.38
37-1012.00,Reading Comprehension,3.12
37-1012.00,Active Listening,3.88
37-1012.00,Writing,3.0
37-1012.00,Speaking,3.75
37-1012.00,Mathematics,2.88
37-1012.00,Science,1.62
37-1012.00,Critical Thinking,3.75
37-1012.00,Active Learning,3.12
37-1012.00,Learning Strategies,3.12
37-1012.00,Monitoring,4.0
37-1012.00,Social Perceptiveness,3.25
37-1012.00,Coordination,3.75
37-1012.00,Persuasion,3.12
37-1012.00,Negotiation,2.88
37-1012.00,Instructing,3.25
37-1012.00,Service Orientation,3.12
37-1012.00,Complex Problem Solving,3.12
37-1012.00,Operations Analysis,2.12
37-1012.00,Technology Design,1.88
37-1012.00,Equipment Selection,2.25
37-1012.00,Installation,1.38
37-1012.00,Programming,1.62
37-1012.00,Operations Monitoring,3.0
37-1012.00,Operation and Control,3.0
37-1012.00,Equipment Maintenance,2.25
37-1012.00,Troubleshooting,2.25
37-1012.00,Repairing,2.12
37-1012.00,Quality Control Analysis,3.12
37-1012.00,Judgment and Decision Making,3.25
37-1012.00,Systems Analysis,2.88
37-1012.00,Systems Evaluation,2.88
37-1012.00,Time Management,4.0
37-1012.00,Management of Financial Resources,2.25
37-1012.00,Management of Material Resources,2.88
37-1012.00,Management of Personnel Resources,3.88
37-2011.00,Reading Comprehension,2.5
37-2011.00,Active Listening,3.0
37-2011.00,Writing,2.38
37-2011.00,Speaking,3.0
37-2011.00,Mathematics,1.38
37-2011.00,Science,1.0
37-2011.00,Critical Thinking,2.75
37-2011.00,Active Learning,2.62
37-2011.00,Learning Strategies,2.12
37-2011.00,Monitoring,2.75
37-2011.00,Social Perceptiveness,2.62
37-2011.00,Coordination,2.75
37-2011.00,Persuasion,2.12
37-2011.00,Negotiation,2.0
37-2011.00,Instructing,2.12
37-2011.00,Service Orientation,2.5
37-2011.00,Complex Problem Solving,2.25
37-2011.00,Operations Analysis,1.12
37-2011.00,Technology Design,1.25
37-2011.00,Equipment Selection,2.0
37-2011.00,Installation,1.0
37-2011.00,Programming,1.25
37-2011.00,Operations Monitoring,2.25
37-2011.00,Operation and Control,2.0
37-2011.00,Equipment Maintenance,2.0
37-2011.00,Troubleshooting,2.12
37-2011.00,Repairing,2.0
37-2011.00,Quality Control Analysis,2.0
37-2011.00,Judgment and Decision Making,2.38
37-2011.00,Systems Analysis,2.0
37-2011.00,Systems Evaluation,1.88
37-2011.00,Time Management,2.75
37-2011.00,Management of Financial Resources,1.38
37-2011.00,Management of Material Resources,1.5
37-2011.00,Management of Personnel Resources,2.12
37-2012.00,Reading Comprehension,2.62
37-2012.00,Active Listening,2.75
37-2012.00,Writing,2.12
37-2012.00,Speaking,2.75
37-2012.00,Mathematics,1.88
37-2012.00,Science,1.0
37-2012.00,Critical Thinking,2.75
37-2012.00,Active Learning,2.12
37-2012.00,Learning Strategies,2.12
37-2012.00,Monitoring,2.75
37-2012.00,Social Perceptiveness,2.88
37-2012.00,Coordination,3.0
37-2012.00,Persuasion,2.12
37-2012.00,Negotiation,2.12
37-2012.00,Instructing,2.12
37-2012.00,Service Orientation,3.12
37-2012.00,Complex Problem Solving,2.12
37-2012.00,Operations Analysis,1.12
37-2012.00,Technology Design,1.0
37-2012.00,Equipment Selection,1.25
37-2012.00,Installation,1.0
37-2012.00,Programming,1.0
37-2012.00,Operations Monitoring,2.0
37-2012.00,Operation and Control,1.62
37-2012.00,Equipment Maintenance,1.0
37-2012.00,Troubleshooting,1.88
37-2012.00,Repairing,1.0
37-2012.00,Quality Control Analysis,2.0
37-2012.00,Judgment and Decision Making,2.12
37-2012.00,Systems Analysis,2.0
37-2012.00,Systems Evaluation,2.0
37-2012.00,Time Management,3.0
37-2012.00,Management of Financial Resources,1.62
37-2012.00,Management of Material Resources,1.88
37-2012.00,Management of Personnel Resources,2.12
37-2021.00,Reading Comprehension,3.0
37-2021.00,Active Listening,3.75
37-2021.00,Writing,3.62
37-2021.00,Speaking,3.62
37-2021.00,Mathematics,2.62
37-2021.00,Science,2.0
37-2021.00,Critical Thinking,3.75
37-2021.00,Active Learning,3.12
37-2021.00,Learning Strategies,2.75
37-2021.00,Monitoring,3.62
37-2021.00,Social Perceptiveness,3.38
37-2021.00,Coordination,3.12
37-2021.00,Persuasion,3.12
37-2021.00,Negotiation,3.12
37-2021.00,Instructing,2.88
37-2021.00,Service Orientation,3.25
37-2021.00,Complex Problem Solving,3.25
37-2021.00,Operations Analysis,1.88
37-2021.00,Technology Design,1.62
37-2021.00,Equipment Selection,2.12
37-2021.00,Installation,1.0
37-2021.00,Programming,1.0
37-2021.00,Operations Monitoring,3.0
37-2021.00,Operation and Control,3.0
37-2021.00,Equipment Maintenance,2.25
37-2021.00,Troubleshooting,2.5
37-2021.00,Repairing,2.25
37-2021.00,Quality Control Analysis,2.62
37-2021.00,Judgment and Decision Making,3.12
37-2021.00,Systems Analysis,2.88
37-2021.00,Systems Evaluation,2.62
37-2021.00,Time Management,3.5
37-2021.00,Management of Financial Resources,2.12
37-2021.00,Management of Material Resources,2.12
37-2021.00,Management of Personnel Resources,3.0
37-3011.00,Reading Comprehension,2.25
37-3011.00,Active Listening,2.75
37-3011.00,Writing,1.75
37-3011.00,Speaking,2.88
37-3011.00,Mathematics,1.75
37-3011.00,Science,1.62
37-3011.00,Critical Thinking,2.88
37-3011.00,Active Learning,2.25
37-3011.00,Learning Strategies,2.12
37-3011.00,Monitoring,2.5
37-3011.00,Social Perceptiveness,2.5
37-3011.00,Coordination,2.75
37-3011.00,Persuasion,2.0
37-3011.00,Negotiation,1.88
37-3011.00,Instructing,2.0
37-3011.00,Service Orientation,2.5
37-3011.00,Complex Problem Solving,2.25
37-3011.00,Operations Analysis,1.25
37-3011.00,Technology Design,1.62
37-3011.00,Equipment Selection,2.12
37-3011.00,Installation,1.12
37-3011.00,Programming,1.0
37-3011.00,Operations Monitoring,2.75
37-3011.00,Operation and Control,3.12
37-3011.00,Equipment Maintenance,2.12
37-3011.00,Troubleshooting,2.12
37-3011.00,Repairing,2.25
37-3011.00,Quality Control Analysis,2.0
37-3011.00,Judgment and Decision Making,2.5
37-3011.00,Systems Analysis,1.88
37-3011.00,Systems Evaluation,1.88
37-3011.00,Time Management,2.62
37-3011.00,Management of Financial Resources,1.12
37-3011.00,Management of Material Resources,1.5
37-3011.00,Management of Personnel Resources,2.12
37-3012.00,Reading Comprehension,3.0
37-3012.00,Active Listening,3.25
37-3012.00,Writing,2.5
37-3012.00,Speaking,3.12
37-3012.00,Mathematics,2.25
37-3012.00,Science,2.0
37-3012.00,Critical Thinking,3.12
37-3012.00,Active Learning,2.88
37-3012.00,Learning Strategies,2.25
37-3012.00,Monitoring,2.88
37-3012.00,Social Perceptiveness,3.0
37-3012.00,Coordination,3.0
37-3012.00,Persuasion,2.38
37-3012.00,Negotiation,2.38
37-3012.00,Instructing,2.38
37-3012.00,Service Orientation,2.5
37-3012.00,Complex Problem Solving,3.0
37-3012.00,Operations Analysis,1.25
37-3012.00,Technology Design,1.38
37-3012.00,Equipment Selection,2.25
37-3012.00,Installation,1.0
37-3012.00,Programming,1.0
37-3012.00,Operations Monitoring,3.0
37-3012.00,Operation and Control,3.0
37-3012.00,Equipment Maintenance,2.88
37-3012.00,Troubleshooting,2.25
37-3012.00,Repairing,2.25
37-3012.00,Quality Control Analysis,2.38
37-3012.00,Judgment and Decision Making,3.0
37-3012.00,Systems Analysis,2.12
37-3012.00,Systems Evaluation,2.12
37-3012.00,Time Management,3.12
37-3012.00,Management of Financial Resources,1.75
37-3012.00,Management of Material Resources,1.88
37-3012.00,Management of Personnel Resources,2.5
37-3013.00,Reading Comprehension,2.62
37-3013.00,Active Listening,2.88
37-3013.00,Writing,2.5
37-3013.00,Speaking,3.0
37-3013.00,Mathematics,1.88
37-3013.00,Science,1.75
37-3013.00,Critical Thinking,3.25
37-3013.00,Active Learning,2.62
37-3013.00,Learning Strategies,2.25
37-3013.00,Monitoring,3.12
37-3013.00,Social Perceptiveness,2.62
37-3013.00,Coordination,3.0
37-3013.00,Persuasion,2.38
37-3013.00,Negotiation,2.25
37-3013.00,Instructing,3.0
37-3013.00,Service Orientation,2.88
37-3013.00,Complex Problem Solving,3.12
37-3013.00,Operations Analysis,1.38
37-3013.00,Technology Design,1.62
37-3013.00,Equipment Selection,2.88
37-3013.00,Installation,1.25
37-3013.00,Programming,1.0
37-3013.00,Operations Monitoring,3.62
37-3013.00,Operation and Control,3.75
37-3013.00,Equipment Maintenance,2.75
37-3013.00,Troubleshooting,2.75
37-3013.00,Repairing,2.25
37-3013.00,Quality Control Analysis,2.75
37-3013.00,Judgment and Decision Making,2.75
37-3013.00,Systems Analysis,2.25
37-3013.00,Systems Evaluation,2.0
37-3013.00,Time Management,2.75
37-3013.00,Management of Financial Resources,1.88
37-3013.00,Management of Material Resources,1.88
37-3013.00,Management of Personnel Resources,2.75
39-1013.00,Reading Comprehension,3.62
39-1013.00,Active Listening,3.75
39-1013.00,Writing,3.38
39-1013.00,Speaking,3.75
39-1013.00,Mathematics,2.62
39-1013.00,Science,1.25
39-1013.00,Critical Thinking,3.62
39-1013.00,Active Learning,3.0
39-1013.00,Learning Strategies,2.75
39-1013.00,Monitoring,3.88
39-1013.00,Social Perceptiveness,3.5
39-1013.00,Coordination,3.38
39-1013.00,Persuasion,3.0
39-1013.00,Negotiation,3.12
39-1013.00,Instructing,3.25
39-1013.00,Service Orientation,3.88
39-1013.00,Complex Problem Solving,3.25
39-1013.00,Operations Analysis,1.5
39-1013.00,Technology Design,1.5
39-1013.00,Equipment Selection,1.75
39-1013.00,Installation,1.25
39-1013.00,Programming,1.88
39-1013.00,Operations Monitoring,2.38
39-1013.00,Operation and Control,2.12
39-1013.00,Equipment Maintenance,1.75
39-1013.00,Troubleshooting,1.88
39-1013.00,Repairing,1.75
39-1013.00,Quality Control Analysis,2.12
39-1013.00,Judgment and Decision Making,3.12
39-1013.00,Systems Analysis,3.0
39-1013.00,Systems Evaluation,2.75
39-1013.00,Time Management,3.5
39-1013.00,Management of Financial Resources,1.88
39-1013.00,Management of Material Resources,1.88
39-1013.00,Management of Personnel Resources,3.38
39-1022.00,Reading Comprehension,3.62
39-1022.00,Active Listening,3.88
39-1022.00,Writing,3.25
39-1022.00,Speaking,3.75
39-1022.00,Mathematics,2.12
39-1022.00,Science,1.38
39-1022.00,Critical Thinking,3.88
39-1022.00,Active Learning,3.12
39-1022.00,Learning Strategies,3.12
39-1022.00,Monitoring,3.25
39-1022.00,Social Perceptiveness,3.75
39-1022.00,Coordination,3.75
39-1022.00,Persuasion,3.5
39-1022.00,Negotiation,3.0
39-1022.00,Instructing,3.25
39-1022.00,Service Orientation,3.62
39-1022.00,Complex Problem Solving,3.12
39-1022.00,Operations Analysis,1.88
39-1022.00,Technology Design,1.62
39-1022.00,Equipment Selection,1.0
39-1022.00,Installation,1.0
39-1022.00,Programming,1.25
39-1022.00,Operations Monitoring,2.25
39-1022.00,Operation and Control,1.88
39-1022.00,Equipment Maintenance,1.0
39-1022.00,Troubleshooting,1.88
39-1022.00,Repairing,1.0
39-1022.00,Quality Control Analysis,2.62
39-1022.00,Judgment and Decision Making,3.25
39-1022.00,Systems Analysis,3.0
39-1022.00,Systems Evaluation,3.0
39-1022.00,Time Management,3.75
39-1022.00,Management of Financial Resources,2.12
39-1022.00,Management of Material Resources,2.12
39-1022.00,Management of Personnel Resources,3.75
39-2011.00,Reading Comprehension,2.88
39-2011.00,Active Listening,3.12
39-2011.00,Writing,2.88
39-2011.00,Speaking,3.5
39-2011.00,Mathematics,1.88
39-2011.00,Science,1.75
39-2011.00,Critical Thinking,3.38
39-2011.00,Active Learning,3.25
39-2011.00,Learning Strategies,3.5
39-2011.00,Monitoring,3.12
39-2011.00,Social Perceptiveness,3.0
39-2011.00,Coordination,3.0
39-2011.00,Persuasion,2.88
39-2011.00,Negotiation,2.5
39-2011.00,Instructing,3.75
39-2011.00,Service Orientation,3.0
39-2011.00,Complex Problem Solving,3.0
39-2011.00,Operations Analysis,1.75
39-2011.00,Technology Design,1.75
39-2011.00,Equipment Selection,1.12
39-2011.00,Installation,1.0
39-2011.00,Programming,1.12
39-2011.00,Operations Monitoring,2.0
39-2011.00,Operation and Control,1.75
39-2011.00,Equipment Maintenance,1.0
39-2011.00,Troubleshooting,1.75
39-2011.00,Repairing,1.0
39-2011.00,Quality Control Analysis,2.12
39-2011.00,Judgment and Decision Making,3.12
39-2011.00,Systems Analysis,2.88
39-2011.00,Systems Evaluation,2.88
39-2011.00,Time Management,3.0
39-2011.00,Management of Financial Resources,1.75
39-2011.00,Management of Material Resources,2.0
39-2011.00,Management of Personnel Resources,2.62
39-2021.00,Reading Comprehension,3.0
39-2021.00,Active Listening,3.0
39-2021.00,Writing,2.75
39-2021.00,Speaking,2.88
39-2021.00,Mathematics,2.0
39-2021.00,Science,1.5
39-2021.00,Critical Thinking,2.75
39-2021.00,Active Learning,2.38
39-2021.00,Learning Strategies,2.0
39-2021.00,Monitoring,3.12
39-2021.00,Social Perceptiveness,2.75
39-2021.00,Coordination,3.0
39-2021.00,Persuasion,1.88
39-2021.00,Negotiation,2.0
39-2021.00,Instructing,2.12
39-2021.00,Service Orientation,3.0
39-2021.00,Complex Problem Solving,2.62
39-2021.00,Operations Analysis,1.0
39-2021.00,Technology Design,1.62
39-2021.00,Equipment Selection,1.62
39-2021.00,Installation,1.12
39-2021.00,Programming,1.25
39-2021.00,Operations Monitoring,1.88
39-2021.00,Operation and Control,1.62
39-2021.00,Equipment Maintenance,1.5
39-2021.00,Troubleshooting,1.88
39-2021.00,Repairing,1.25
39-2021.00,Quality Control Analysis,2.0
39-2021.00,Judgment and Decision Making,3.0
39-2021.00,Systems Analysis,2.12
39-2021.00,Systems Evaluation,2.12
39-2021.00,Time Management,2.5
39-2021.00,Management of Financial Resources,1.75
39-2021.00,Management of Material Resources,1.75
39-2021.00,Management of Personnel Resources,2.0
39-3011.00,Reading Comprehension,3.0
39-3011.00,Active Listening,3.38
39-3011.00,Writing,2.25
39-3011.00,Speaking,3.38
39-3011.00,Mathematics,2.75
39-3011.00,Science,1.0
39-3011.00,Critical Thinking,2.75
39-3011.00,Active Learning,2.25
39-3011.00,Learning Strategies,2.0
39-3011.00,Monitoring,3.0
39-3011.00,Social Perceptiveness,3.12
39-3011.00,Coordination,2.88
39-3011.00,Persuasion,2.62
39-3011.00,Negotiation,2.38
39-3011.00,Instructing,2.62
39-3011.00,Service Orientation,3.12
39-3011.00,Complex Problem Solving,2.25
39-3011.00,Operations Analysis,1.0
